YEAR_MONTH,COUNT,TOTAL_USD,AVG_USD,MIN_USD,MAX_USD
2023-09,10902,138374.0,12.69,0.0,22.0
2023-10,18518,229932.5,12.42,1.0,20.0
2023-11,18170,224043.0,12.33,1.0,20.0
2023-12,17348,215122.0,12.4,0.0,20.0
2024-01,5802,71810.0,12.38,1.0,20.0
2024-02,5148,63487.0,12.33,1.0,20.0
2024-03,6079,69846.0,11.49,1.0,20.0
2024-04,6486,72554.0,11.19,1.0,20.0
2024-05,5986,65363.0,10.92,1.0,20.0
2024-06,6302,66907.0,10.62,1.0,20.0
2024-07,5374,55039.0,10.24,1.0,20.0
2024-08,5774,61928.0,10.73,1.0,20.0
2024-09,3725,40627.0,10.91,1.0,20.0
2024-10,3315,35968.0,10.85,1.0,20.0
2024-11,3018,32654.0,10.82,1.0,20.0
2024-12,2220,23668.0,10.66,1.0,20.0
