TF_MONTH,Total_TF_Transactions,Matched_Success,Total_TF_Amount_USD,Match_Rate_%
2023-09,18994,2181,249863,11.48
2023-10,8147,7,106233,0.09
2023-11,13398,2330,198510,17.39
2023-12,6817,4,85632,0.06
2024-01,5928,2149,73165,36.25
2024-02,5148,2,63487,0.04
2024-03,6079,0,69846,0.0
2024-04,6487,5,72556,0.08
2024-05,7089,2474,78356,34.9
2024-06,11316,2536,141029,22.41
2024-07,5374,8,55039,0.15
2024-08,6732,2310,69529,34.31
2024-09,5663,1904,65651,33.62
2024-10,3315,3,35968,0.09
2024-11,3415,1709,39052,50.04
2024-12,2220,0,23668,0.0
